,Feature_Name,Accuracy,F1_Score,Train_Time,Evaluate_Time
9,RGB + HSV + ResNet,0.9113636363636364,0.9109367859016025,7.88381826877594,0.006986856460571289
10,RGB + HSV + ResNet + HOG (Gray),0.8702651515151516,0.8692745861129311,18.458093762397766,0.007677412033081055
8,RGB + HSV,0.31799242424242424,0.28378859811479246,0.6218826055526734,0.0032642364501953127
5,HOG Multi-Scale (Hue),0.2964015151515152,0.2943016166884632,15.655695414543152,0.008243823051452636
2,HOG Multi-Scale (Green),0.29015151515151516,0.28322498403820034,17.648750066757202,0.007568836212158203
4,HOG Multi-Scale (Gray),0.2886363636363637,0.2841483212985926,17.123555254936218,0.009589171409606934
1,HOG Multi-Scale (Red),0.2823863636363636,0.277467082913024,16.060849761962892,0.009861207008361817
7,HOG Multi-Scale (Brightness),0.28162878787878787,0.27548808981540895,16.902549743652344,0.008297443389892578
3,HOG Multi-Scale (Blue),0.2772727272727273,0.2711793367109135,17.31452054977417,0.00869436264038086
0,DAISY (RGB),0.2537878787878788,0.2453438714399617,2.0682860374450684,0.00390772819519043
6,HOG Multi-Scale (Saturation),0.24375,0.24056348915166376,16.380594491958618,0.007429075241088867
